judge_count	hedge	max_mean_ns	MTF
25	1.0	0.9426	0.8858
50	0.8483	0.8382	0.8917
75	0.7931	0.6486	0.5710
100	0.6443	0.4544	0.4403
125	0.4930	0.3316	0.2833
150	0.4818	0.2985	0.1810
175	0.3844	0.2870	0.1642
200	0.3181	0.2172	0.1566
225	0.2074	0.2114	0.1610
250	0.1650	0.1165	0.1425
275	0.1313	0.0748	0.0603
300	0.1190	0.1187	0.0662
325	0.0629	0.0701	0.0619
350	0.0532	0.0793	0.0443
375	0.0532	0.0579	0.0244
400	0.1243	0.0408	0.0244
425	0.0696	0.0244	0.0242
450	0.1586	0.0442	0.0510
475	0.1314	0.0244	0.0244
500	0.0392	0.0242	0.0923
