judge_count	hedge	max_mean_ns	MTF
25	0.4913	0.5555	0.5012
50	0.5604	0.6098	0.6592
75	0.6724	0.7037	0.7432
100	0.6922	0.758	0.8603
125	0.7481	0.8123	0.9061
150	0.7432	0.8518	0.9358
175	0.7648	0.8716	0.9456
200	0.8222	0.9061	0.9456
225	0.8962	0.9209	0.9456
250	0.9111	0.9407	0.9604
275	0.9358	0.9506	0.9654
300	0.9443	0.9506	0.969
325	0.9604	0.9555	0.9654
350	0.9654	0.9604	0.9703
375	0.9654	0.9654	0.9753
400	0.969	0.9703	0.9753
425	0.9753	0.9753	0.9753
450	0.9703	0.9753	0.9753
475	0.9703	0.9753	0.9753
500	0.9703	0.9753	0.9753
