judge_count	hedge	max_mean_ns	MTF
25	0.9204	0.7994	1.0
50	0.3894	0.4248	0.3740
75	0.3761	0.3785	0.3298
100	0.3727	0.2866	0.2010
125	0.3824	0.0971	0.0889
150	0.1486	0.1067	0.0777
175	0.0889	0.0651	0.0627
200	0.0889	0.0673	0.0563
225	0.0881	0.0713	0.0445
250	0.0647	0.0511	0.0120
275	0.0580	0.0413	0.0111
300	0.0542	0.0111	0.0536
325	0.0430	0.0556	0.0113
350	0.0113	0.0111	0.0113
375	0.0113	0.0767	0.0326
400	0.0113	0.0362	0.0886
425	0.0113	0.0081	0.0082
450	0.0082	0.0112	0.0325
475	0.0082	0.0082	0.0082
500	0.0082	0.0081	0.0082
