judge_count	hedge	max_mean_ns	MTF
25	0.6131	0.6576	0.6905
50	0.8009	0.7252	0.7856
75	0.8405	0.7614	0.8454
100	0.8405	0.8306	0.885
125	0.8454	0.9097	0.9245
150	0.8949	0.9196	0.9331
175	0.9196	0.9295	0.9394
200	0.9196	0.9394	0.9493
225	0.9147	0.9491	0.9592
250	0.9344	0.9592	0.974
275	0.9443	0.9641	0.974
300	0.9592	0.974	0.9752
325	0.969	0.9752	0.974
350	0.974	0.974	0.974
375	0.974	0.974	0.9789
400	0.974	0.974	0.9801
425	0.974	0.9789	0.9789
450	0.9789	0.9789	0.9801
475	0.9801	0.9801	0.9801
500	0.9789	0.9789	0.9801
