judge_count	max_mean_ns	hedge	MTF
25	11.604	14.357	10.01
50	8.9645	9.2262	9.2773
75	8.6423	6.9963	6.1105
100	5.3341	6.1909	5.6487
125	5.0225	5.07	4.4
150	4.6114	4.4044	4.0988
175	3.8609	3.6359	4.1655
200	2.9829	3.29	3.6686
225	2.4756	3.1161	2.81
250	2.0637	2.5168	2.4189
275	2.332	2.1324	2.3743
300	1.8938	2.0891	2.2752
325	1.8596	1.9997	2.2926
350	1.8154	2.0679	1.9065
375	1.7407	2.0644	1.7251
400	1.6052	1.8178	1.6306
425	1.5077	1.6244	1.549
450	1.3892	1.5204	1.5069
475	1.3653	1.5507	1.2829
500	1.2974	1.3339	1.2995
