judge_count	max_mean_ns	hedge	MTF
25	12.081	17.275	11.454
50	8.6058	11.586	9.3018
75	8.5334	7.6277	7.4492
100	6.8556	6.8381	7.023
125	5.7836	5.3062	5.9557
150	6.0409	4.7521	5.7927
175	5.0085	4.2154	5.1498
200	4.4231	4.1187	4.6112
225	3.7387	3.8973	4.0916
250	2.9449	3.6458	3.7622
275	2.8896	3.1863	3.392
300	2.9283	3.2131	3.0633
325	2.7759	3.1272	2.9863
350	2.7875	2.8323	2.7173
375	2.8339	2.7265	2.5026
400	2.558	2.4552	2.7601
425	2.6009	2.4968	2.6956
450	2.5334	2.6337	2.8764
475	2.3375	2.5901	2.7841
500	2.3972	2.5366	2.7894
