judge_count	max_mean_ns	hedge	MTF
25	0.6512	0.5808	0.6414
50	0.7273	0.7396	0.7274
75	0.775	0.7759	0.774
100	0.8018	0.8092	0.8018
125	0.8147	0.833	0.8171
150	0.8331	0.8488	0.8311
175	0.8546	0.8599	0.8351
200	0.8673	0.8645	0.8556
225	0.878	0.8705	0.8591
250	0.8902	0.8753	0.868
275	0.897	0.8861	0.871
300	0.9003	0.8931	0.8871
325	0.9071	0.894	0.8967
350	0.913	0.8978	0.9078
375	0.9111	0.9098	0.9166
400	0.9181	0.9151	0.9161
425	0.92	0.9185	0.9181
450	0.9226	0.9181	0.9203
475	0.928	0.9205	0.922
500	0.9351	0.9259	0.9245
