judge_count	max_mean_ns	hedge	MTF
25	0.7687	0.7821	0.8141
50	0.8442	0.8579	0.8663
75	0.8815	0.8954	0.8943
100	0.9048	0.9145	0.9158
125	0.9258	0.9251	0.9313
150	0.9425	0.9365	0.943
175	0.9479	0.9492	0.9488
200	0.9564	0.9571	0.9545
225	0.9619	0.96	0.9568
250	0.9685	0.9612	0.9586
275	0.9708	0.9639	0.9647
300	0.9721	0.9656	0.9674
325	0.9743	0.9685	0.9675
350	0.9757	0.9698	0.9694
375	0.9759	0.9718	0.9717
400	0.9776	0.9722	0.9734
425	0.9775	0.9745	0.9757
450	0.9791	0.9762	0.9762
475	0.9803	0.9772	0.9787
500	0.9803	0.9775	0.9794
