judge_count	max_mean	max_mean_ns	MTF	hedge	moffat_C	borda_fuse	moffat_B	docID	rank	greedy
50	145.28	163.78	89.489	59.499	198.11	475.48	250.1	1198.0	323.86	283.36
100	5.6804	6.3595	5.9122	6.6971	6.8504	254.03	7.3027	474.75	7.7616	9.7151
150	3.4766	5.2922	5.1845	4.7932	4.0751	156.1	7.279	553.17	6.3677	4.6422
200	3.3475	3.6852	3.3509	2.8795	3.3417	97.866	4.5638	447.33	4.3177	3.116
250	3.326	2.2049	3.2699	2.9706	3.1937	53.417	3.4348	599.75	3.5137	2.9608
300	2.6635	2.2685	2.5662	2.5272	2.8061	13.183	3.5623	446.49	3.4677	2.9847
350	2.0818	1.7695	2.1936	1.7139	2.6114	34.063	3.3052	340.43	3.1805	2.2548
400	1.6865	1.4201	1.633	2.0141	1.8452	23.678	2.6767	261.23	2.6857	2.2009
450	1.4862	0.784	1.2599	1.4024	1.6579	4.029	2.0603	376.0	2.0695	1.9736
500	1.469	0.7879	0.9179	1.4447	1.2158	4.035	1.6403	392.9	1.5991	1.8101
