judge_count	max_mean	max_mean_ns	MTF	hedge	moffat_C	borda_fuse	moffat_B	docID	rank	greedy
50	0.9116	0.9172	0.9168	0.9268	0.9145	0.8105	0.8904	0.7556	0.8938	0.8711
100	0.9453	0.9368	0.9394	0.9403	0.9361	0.8485	0.9296	0.8	0.9246	0.9236
150	0.9549	0.9489	0.9541	0.9499	0.9477	0.8655	0.9373	0.8032	0.9419	0.946
200	0.9578	0.9661	0.9655	0.9586	0.9532	0.8881	0.9487	0.8083	0.9529	0.9601
250	0.9661	0.9718	0.9731	0.9632	0.9632	0.9034	0.9569	0.8034	0.9585	0.9644
300	0.9715	0.9723	0.9746	0.9654	0.9671	0.915	0.9596	0.8048	0.9635	0.9667
350	0.9723	0.9776	0.9791	0.9704	0.9692	0.9233	0.9665	0.8248	0.9678	0.9705
400	0.9741	0.9826	0.9786	0.9707	0.9718	0.9287	0.9688	0.8198	0.9677	0.9713
450	0.9781	0.9876	0.9822	0.9754	0.9763	0.9371	0.9705	0.8191	0.9715	0.9734
500	0.9802	0.9872	0.985	0.9791	0.9786	0.942	0.9747	0.8254	0.9747	0.9747
