judge_count	max_mean	max_mean_ns	MTF	hedge	moffat_C	borda_fuse	moffat_B	docID	rank	greedy
50	13.404	9.8351	10.484	6.9669	11.305	88.654	26.99	468.79	83.038	96.613
100	18.9	4.2243	4.3247	3.3746	6.7022	22.776	10.629	214.45	11.892	11.159
150	5.4328	3.8514	3.6196	2.9169	5.003	17.164	7.6704	261.53	7.4952	6.5578
200	2.8503	3.2715	2.6389	1.886	3.6526	16.216	7.15	285.42	6.6276	8.3921
250	2.3174	1.4985	2.4391	1.7367	2.8346	14.502	4.9089	229.21	4.7818	1.9805
300	1.764	0.9896	2.0796	1.2694	2.3957	12.386	4.8019	365.57	3.514	1.9542
350	2.4644	0.839	1.4597	1.0533	1.3996	7.4476	2.4182	199.76	2.9211	2.205
400	0.9614	1.6546	0.7688	1.2542	1.1252	6.4981	2.2559	195.82	1.7877	0.7921
450	0.889	1.981	0.5829	0.9152	0.9526	5.257	1.7534	160.31	1.7131	2.4366
500	1.056	0.4177	1.2505	1.763	0.8891	4.2567	1.3871	133.04	1.3678	0.8977
