judge_count	max_mean	max_mean_ns	MTF	hedge	moffat_C	borda_fuse	moffat_B	docID	rank	greedy
50	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0
100	0.0	0.801	0.756	0.986	0.005	0.0	0.0	0.0	0.0	0.0
150	0.165	0.935	0.967	1.0	0.373	0.0	0.001	0.0	0.001	0.008
200	1.0	0.993	1.0	1.0	0.963	0.0	0.002	0.0	0.006	0.0
250	1.0	1.0	1.0	1.0	1.0	0.0	0.418	0.0	0.487	1.0
300	1.0	1.0	1.0	1.0	1.0	0.0	0.473	0.0	0.98	1.0
350	1.0	1.0	1.0	1.0	1.0	0.002	1.0	0.0	1.0	1.0
400	1.0	1.0	1.0	1.0	1.0	0.009	1.0	0.0	1.0	1.0
450	1.0	1.0	1.0	1.0	1.0	0.234	1.0	0.0	1.0	1.0
500	1.0	1.0	1.0	1.0	1.0	0.784	1.0	0.0	1.0	1.0
