judge_count	max_mean	max_mean_ns	MTF	hedge	moffat_C	borda_fuse	moffat_B	docID	rank	greedy
50	0.9139	0.8852	0.9077	0.9148	0.9029	0.6932	0.8479	0.4517	0.8342	0.8291
100	0.9397	0.9391	0.9416	0.9452	0.9246	0.7917	0.9131	0.572	0.9126	0.9097
150	0.9504	0.951	0.9516	0.9607	0.9375	0.8368	0.9236	0.5341	0.9182	0.9335
200	0.9595	0.9607	0.9575	0.9663	0.9486	0.8666	0.9319	0.526	0.9335	0.944
250	0.9669	0.9732	0.9657	0.9714	0.9569	0.9021	0.9407	0.5464	0.9413	0.9611
300	0.9722	0.98	0.9726	0.9754	0.9601	0.9164	0.9472	0.5812	0.9478	0.9671
350	0.976	0.9826	0.9772	0.98	0.9655	0.9333	0.9569	0.584	0.9575	0.9746
400	0.98	0.9899	0.981	0.981	0.972	0.9462	0.9625	0.6682	0.9617	0.983
450	0.9832	0.9907	0.9875	0.9844	0.9754	0.9575	0.9629	0.6819	0.9663	0.9846
500	0.9871	0.9915	0.9875	0.984	0.979	0.9687	0.9673	0.6857	0.9681	0.9875
