judge_count	max_mean	max_mean_ns	MTF	hedge	moffat_C	borda_fuse	moffat_B	docID	rank	greedy
50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100	0.0	0.004	0.648	0.0	0.046	0.0	0.0	0.0	0.0	0.01
150	0.796	0.065	0.591	0.228	0.55	0.0	0.001	0.0	0.003	0.003
200	0.942	0.979	0.875	0.409	0.477	0.0	0.792	0.0	0.152	0.998
250	1.0	1.0	0.998	0.569	0.93	0.0	0.881	0.0	0.941	1.0
300	0.998	1.0	1.0	0.979	0.966	0.0	0.991	0.0	0.974	0.114
350	1.0	1.0	1.0	0.998	1.0	0.0	0.976	0.0	0.998	1.0
400	1.0	1.0	1.0	1.0	1.0	0.0	0.998	0.0	0.998	1.0
450	1.0	1.0	1.0	1.0	1.0	0.01	1.0	0.0	1.0	1.0
500	1.0	1.0	1.0	1.0	1.0	0.186	1.0	0.0	1.0	1.0
