judge_count	max_mean	max_mean_ns	MTF	hedge	moffat_C	borda_fuse	moffat_B	docID	rank	greedy
50	0.2504	0.2343	0.2286	0.2999	0.2064	0.1952	0.1613	0.0232	0.1402	0.1793
100	0.3766	0.3781	0.3612	0.45	0.3049	0.299	0.2356	0.0471	0.2277	0.2933
150	0.4638	0.4805	0.4437	0.5621	0.3758	0.3762	0.2975	0.0731	0.2916	0.3961
200	0.5363	0.5516	0.5131	0.6455	0.4348	0.4407	0.3489	0.103	0.3462	0.4663
250	0.5987	0.6154	0.5691	0.6969	0.4786	0.4928	0.3912	0.1266	0.3908	0.5253
300	0.6425	0.6715	0.6171	0.736	0.5222	0.5378	0.4295	0.1478	0.4318	0.5706
350	0.6831	0.7131	0.6632	0.7626	0.5592	0.5788	0.4686	0.1668	0.4697	0.6112
400	0.7197	0.751	0.6975	0.7842	0.5934	0.611	0.5014	0.1924	0.5019	0.6448
450	0.7548	0.781	0.7341	0.8009	0.6266	0.6425	0.5325	0.2115	0.5355	0.6776
500	0.7808	0.8045	0.7624	0.8142	0.6533	0.6734	0.5617	0.2305	0.5649	0.7087
