judge_count	hedge	max_mean_ns	MTF
25	-0.047	0.5537	0.5935
50	0.3477	0.6896	0.7434
75	0.4699	0.739	0.7964
100	0.5822	0.7866	0.8231
125	0.6226	0.815	0.8886
150	0.6684	0.8588	0.8944
175	0.6963	0.8724	0.9147
200	0.7255	0.8917	0.9358
225	0.7499	0.9254	0.9309
250	0.7678	0.9345	0.9358
275	0.7833	0.9396	0.9413
300	0.7992	0.9498	0.9523
325	0.8146	0.9473	0.9692
350	0.8434	0.9528	0.9714
375	0.8475	0.955	0.9799
400	0.8804	0.9621	0.9862
425	0.8914	0.9709	0.9898
450	0.9075	0.9731	0.9926
475	0.9303	0.9772	0.9945
500	0.9448	0.9797	0.9945
