judge_count	hedge	max_mean_ns	MTF
25	1.0	0.3334	0.2870
50	0.3676	0.2678	0.2086
75	0.2670	0.1823	0.1437
100	0.1765	0.1573	0.1424
125	0.1645	0.1073	0.0839
150	0.1769	0.1031	0.0522
175	0.1249	0.0747	0.0565
200	0.1212	0.0722	0.0597
225	0.1253	0.0678	0.0364
250	0.1253	0.0497	0.0539
275	0.1119	0.0417	0.0339
300	0.0949	0.0327	0.0338
325	0.0750	0.0323	0.0251
350	0.0667	0.0469	0.0282
375	0.0461	0.0461	0.0122
400	0.0	0.0599	0.0066
425	0.0480	0.0574	0.0076
450	0.0362	0.0241	0.0243
475	0.0525	0.0168	0.0173
500	0.0333	0.0163	0.0275
