judge_count	hedge	max_mean_ns	MTF
25	0.6571	0.7587	0.8032
50	0.8183	0.8177	0.8602
75	0.8383	0.8654	0.9084
100	0.881	0.8854	0.9216
125	0.8832	0.915	0.9429
150	0.8966	0.9304	0.952
175	0.9092	0.9391	0.9575
200	0.9139	0.9446	0.9687
225	0.9262	0.9591	0.9687
250	0.9301	0.9624	0.9728
275	0.9347	0.9692	0.9764
300	0.9388	0.9739	0.9764
325	0.9432	0.972	0.9852
350	0.9479	0.9676	0.9884
375	0.9528	0.9695	0.9928
400	0.9561	0.9761	0.9947
425	0.9586	0.9841	0.995
450	0.9602	0.9854	0.9939
475	0.9624	0.9873	0.9923
500	0.9654	0.9882	0.992
